"","kills","deaths","assists","killingSprees","largestKillingSpree","largestMultiKill","doubleKills","tripleKills","quadraKills","pentaKills","totalDamageDealt","totalDamageDealtToChampions","magicDamageDealt","physicalDamageDealt","trueDamageDealt","damageDealtToObjectives","damageDealtToTurrets","damageSelfMitigated","totalDamageTaken","goldEarned","goldSpent","totalMinionsKilled","neutralMinionsKilled","lane","teamPosition","timePlayed","visionScore","wardsPlaced","wardsKilled","longestTimeSpentLiving","totalHeal","totalHealsOnTeammates","totalDamageShieldedOnTeammates","timeCCingOthers","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","killParticipation","takedowns"
"164",13,10,8,4,4,2,2,0,0,0,182957,52224,139527,36627,6803,13793,7558,24027,33441,14969,13075,202,1,"TOP","TOP",1971,25,13,1,399,5725,0,0,56,FALSE,FALSE,FALSE,FALSE,NA,NA
"165",10,1,13,2,6,2,3,0,0,0,160073,31577,42469,97030,20573,10515,10515,6491,11681,12923,11250,193,13,"BOTTOM","BOTTOM",1255,10,4,2,702,3269,0,0,10,FALSE,FALSE,TRUE,FALSE,NA,NA
"166",9,4,11,2,6,3,1,1,0,0,34116,17059,0,29717,4398,3539,3188,12097,15155,9343,9125,30,4,"NONE","UTILITY",1136,53,25,8,341,3725,0,0,9,FALSE,FALSE,FALSE,TRUE,NA,NA
"167",8,6,18,2,4,2,1,0,0,0,313852,41194,192787,20442,100623,5415,2126,18083,32432,17116,16750,318,1,"MIDDLE","MIDDLE",2378,22,3,7,610,7154,0,0,26,FALSE,FALSE,FALSE,FALSE,NA,NA
"168",23,7,8,5,7,3,7,2,0,0,61145,40694,52053,6130,2961,639,639,15434,20596,12945,12550,25,0,"NONE","",975,0,0,0,247,3054,0,0,2,FALSE,FALSE,FALSE,FALSE,NA,NA
"169",6,9,9,2,3,1,0,0,0,0,157100,27540,101996,11557,43545,9166,0,24033,37672,10163,9850,2,120,"JUNGLE","JUNGLE",1958,14,8,1,704,16211,0,0,15,FALSE,FALSE,FALSE,FALSE,NA,NA
"170",10,7,10,3,3,2,1,0,0,0,55031,21138,13455,41576,0,985,985,17374,24342,12102,11250,58,0,"NONE","",1046,0,0,0,363,5402,467,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA
"171",4,3,1,1,3,1,0,0,0,0,140442,19458,104720,18660,17061,8086,4892,11947,20491,8944,8025,179,5,"JUNGLE","TOP",1408,26,10,3,1169,3794,0,0,8,FALSE,FALSE,FALSE,FALSE,NA,NA
"172",3,4,4,1,2,1,0,0,0,0,71361,10253,59805,10332,1224,4664,4664,10580,14566,8327,6950,138,0,"BOTTOM","BOTTOM",1222,1,1,1,382,4209,0,0,30,FALSE,FALSE,FALSE,FALSE,NA,NA
"173",5,10,16,0,0,1,0,0,0,0,34640,22457,30946,2897,796,1,1,9912,20378,9045,8625,21,0,"BOTTOM","UTILITY",1597,46,16,6,233,399,0,0,47,TRUE,FALSE,FALSE,FALSE,NA,NA
"174",2,5,4,1,2,1,0,0,0,0,86020,12871,0,85195,824,923,923,12419,20106,7958,7683,137,4,"TOP","TOP",1526,18,10,0,431,2386,0,0,20,FALSE,FALSE,FALSE,FALSE,NA,NA
"175",3,7,8,1,2,1,0,0,0,0,122891,20037,23154,97823,1913,2103,986,31177,31623,9275,9050,181,8,"MIDDLE","MIDDLE",1626,12,8,0,647,3585,0,0,38,FALSE,TRUE,FALSE,FALSE,NA,NA
"176",8,3,5,1,7,2,1,0,0,0,124285,18152,6588,104356,13339,4154,1490,43126,25914,10742,10325,170,0,"TOP","TOP",1727,15,8,2,1373,2507,0,1294,29,FALSE,FALSE,FALSE,FALSE,NA,NA
"177",0,1,26,0,0,0,0,0,0,0,32756,10737,24317,6230,2208,3433,1485,6084,15741,8633,7200,31,0,"BOTTOM","UTILITY",1781,77,32,8,1327,17853,10771,2592,32,FALSE,FALSE,FALSE,FALSE,NA,NA
"178",11,9,18,3,4,1,0,0,0,0,258210,37050,65168,134475,58566,53817,5209,49267,56515,15920,15625,46,151,"TOP","JUNGLE",1793,45,14,7,410,33438,0,0,51,TRUE,FALSE,FALSE,FALSE,NA,NA
"179",9,2,12,2,5,3,2,1,0,0,320896,32475,216445,10345,94103,56081,261,23310,44278,14710,13200,35,201,"JUNGLE","JUNGLE",1978,50,5,4,1398,32936,0,0,72,FALSE,FALSE,FALSE,FALSE,NA,NA
"180",2,1,6,1,2,1,0,0,0,0,70747,6286,43311,23739,3696,2377,2377,2599,4776,7586,6625,153,0,"NONE","BOTTOM",969,9,5,2,751,1196,0,0,8,FALSE,FALSE,FALSE,FALSE,NA,NA
"181",8,9,23,2,2,2,1,0,0,0,81686,27609,0,81085,600,2597,2597,8617,19713,12966,11850,67,0,"NONE","",974,0,0,0,265,1460,0,0,4,FALSE,FALSE,FALSE,TRUE,NA,NA
"182",1,5,6,0,0,1,0,0,0,0,10769,5110,4165,3873,2730,538,0,8560,10946,4299,3525,11,0,"NONE","UTILITY",921,25,15,1,263,326,114,0,26,FALSE,FALSE,FALSE,FALSE,NA,NA
"183",3,6,37,1,3,3,1,1,0,0,44844,18312,5688,35006,4150,953,953,5513,12447,7596,7883,39,0,"NONE","",616,0,0,0,127,1424,131,0,9,FALSE,TRUE,FALSE,FALSE,NA,NA
"184",2,6,60,1,2,1,0,0,0,0,32635,18684,27959,2924,1751,1825,1825,15966,24283,14812,13900,16,0,"MIDDLE","",1433,0,0,0,359,31187,20938,39440,83,FALSE,FALSE,FALSE,TRUE,NA,NA
"185",7,8,19,2,2,2,1,0,0,0,187991,30553,3341,176451,8198,9966,6901,19191,28832,16717,14825,257,5,"BOTTOM","BOTTOM",2327,35,11,4,591,3197,0,0,69,FALSE,FALSE,FALSE,FALSE,NA,NA
"186",4,1,6,1,4,1,0,0,0,0,168503,17301,9343,158182,978,11908,9745,21602,27494,12619,11425,229,8,"TOP","TOP",1492,14,6,0,903,14612,0,0,18,FALSE,FALSE,FALSE,FALSE,NA,NA
